image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2008/11/23/799c4b70-a29a-4342-bda7-1367830171ab/thumbnail/140x105/a90ab4435501c8483cf56a7fbe78fcf2/nokia-6205-cellular-phone-cdma-tft-blue-silver-verizon.jpg,"The Nokia 6205 barely lives up to its multimedia phone promise, but it's a decent choice if you want an affordable 3G phone with good call quality.","/products/nokia-6205/,/products/nokia-6205/prices/","Nokia 6205,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/0670ee68-698e-4dfb-9c54-6e61a9df05cf/thumbnail/140x105/c4f915a260a76e2e38d4c7e019bf6821/nokia-e71-white-unlocked.gif,Mobile professionals who need a powerful but sleek messaging-centric smartphone will be well-served by the Nokia E71; just be prepared to pay a price.,"/products/nokia-e71/,/products/nokia-e71/prices/","Nokia E71,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/7fac9dbb-2251-4058-bc09-6158bd5c474a/thumbnail/140x105/1afb9fc5e0377e38a9181f552ab9a92a/nokia-lumia-620.jpg,"Nokia's Lumia 620 smartphone successfully delivers a complete Windows Phone 8 experience for a low price, but buyer beware of some compromises in battery, sound, and design.","/products/nokia-lumia-620/,/products/nokia-lumia-620/prices/",Nokia Lumia 620
http://cnet3.cbsistatic.com/hub/i/r/2012/10/19/98654e8e-6150-40c9-8843-ba8970bf6797/thumbnail/140x105/8d46fe1e57d7e81e7622177d3948ea9f/98654e8e-6150-40c9-8843-ba8970bf6797.jpg,"If you're looking for an inexpensive, approachable smartphone with a few more features, the Nokia Lumia 820's price tag is tough to beat.,,,",/products/nokia-lumia-820-series/,"Nokia Lumia 820,"
http://cnet3.cbsistatic.com/hub/i/r/2012/10/31/ebbaec0f-65a2-4b63-bd9e-5ebcb59a6d99/thumbnail/140x105/63c1f02f9d0866ff51568c3de609f3ca/nokia-lumia-822-windows-phone-cdma-gsm-umts-4g-16-gb-4-3-clearblack-black-verizon.jpg,"The Nokia Lumia 822 offers a very good value for Verizon, but if you're into stylish design and spotless call quality, this isn't the phone for you.","/products/nokia-lumia-822-black-verizon-wireless/,/products/nokia-lumia-822-black-verizon-wireless/prices/","Nokia Lumia 822,"
http://cnet3.cbsistatic.com/hub/i/r/2012/11/14/5124fd1c-2189-497f-a21d-60839237ba96/thumbnail/140x105/2a0caccc4d54d59a7ab2e2eab1be14a6/5124fd1c-2189-497f-a21d-60839237ba96.jpg,"The Nokia Lumia 810 makes for a practical smartphone choice, but if you're looking for something thin and light, the HTC Windows Phone 8X is one better option.,,,",/products/nokia-lumia-810-t-mobile/,"Nokia Lumia 810,"
http://cnet4.cbsistatic.com/hub/i/r/2013/08/28/178c32a7-7682-4271-9055-6dd85aa42851/thumbnail/140x105/e86f03f551b666e3f1d19b6eccd896df/35436251-1.jpg,"Nokia's Lumia 920 is heavy and thick, but if you want the most powerful, feature-rich Windows phone available, this is it.,,,",/products/nokia-lumia-920/,Nokia Lumia 920
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/efefed13-179b-40cb-94c2-5a4b98ec97bc/thumbnail/140x105/60c980182237009964ee3c13ac6776aa/nokia-808-pureview-unlocked.jpg,"Even if you're only interested in its sharp, innovative camera, the Nokia 808 PureView's weak Symbian Belle OS and slower processor make it a questionable investment considering the price, especially since Symbian's days are numbered.,,,",/products/nokia-808-pureview-unlocked/,"Nokia 808 PureView,"
http://cnet3.cbsistatic.com/hub/i/r/2012/01/18/5f734073-9b47-46e4-8239-6e70d5d60b90/thumbnail/140x105/65e0e4ff98ac0469bc571552a2a1c5e9/nokia-lumia-900-windows-phone-gsm-umts-4g-16-gb-4-3-clearblack-at-t.jpg,"The Nokia Lumia 900's unique design and high-end features make Windows Phone look fantastic, and the $99 price is extremely fair. Despite some flaws, this is my favorite Windows Phone yet.","/products/nokia-lumia-900-at-t/,/products/nokia-lumia-900-at-t/prices/","Nokia Lumia 900,"
http://cnet4.cbsistatic.com/hub/i/r/2011/12/16/adf25b7b-c779-4bb3-94bd-4ca1f11b9e3f/thumbnail/140x105/716c4c6f0ee9e46b9a07e30f85742ea6/adf25b7b-c779-4bb3-94bd-4ca1f11b9e3f.jpg,"The $49.99 Nokia Lumia 710 is an excellent way to get the growing capabilities of a Windows Mango smartphone for a rock-bottom price. Though it isn't an Android superphone with a luscious AMOLED display, it's a practical device that covers all the mobile bases.","/products/nokia-lumia-710-t-mobile/,/products/nokia-lumia-710-t-mobile/prices/","Nokia Lumia 710,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/a7fe7f4c-1c46-483d-9dc8-0a25d3698ae4/thumbnail/140x105/2266925c099bb07d19d2f05c7a85c65d/nokia-lumia-710-white-unlocked.jpg,"The $49.99 Nokia Lumia 710 is an excellent way to get the growing capabilities of a Windows Mango smartphone for a rock-bottom price. Though it isn't an Android superphone with a luscious AMOLED display, it's a practical device that covers all the mobile bases.","/products/nokia-lumia-710/,/products/nokia-lumia-710/prices/","Nokia Lumia 710,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/b8bcc851-795a-44b5-9cce-2a1ee47637d7/thumbnail/140x105/882848bf2789ae22711dc1e4718ecd72/nokia-lumia-800-black-unlocked.png,"The unlocked Nokia Lumia 800 has an innovative design and gorgeous screen, but the poor camera quality and lack of a front-facing camera are major detractions.","/products/nokia-lumia-800/,/products/nokia-lumia-800/prices/","Nokia Lumia 800,"
http://cnet4.cbsistatic.com/hub/i/r/2011/03/14/4b5f68fd-0720-46ac-b26d-324d13508642/thumbnail/140x105/819fc3661216c3207baed0be23143e3d/4b5f68fd-0720-46ac-b26d-324d13508642.jpg,"The Nokia X2 offers basic communication options, plus a couple of extras, in an agreeable design. What's more, it delivers a full keyboard at an affordable price.","/products/nokia-x2-slate-t-mobile-prepaid/,/products/nokia-x2-slate-t-mobile-prepaid/prices/","Nokia X2,"
http://cnet3.cbsistatic.com/hub/i/r/2010/08/30/db20dad9-a1c3-456c-8a70-88125e2f9eac/thumbnail/140x105/dc344ff2282048df757b45b622e13397/db20dad9-a1c3-456c-8a70-88125e2f9eac.jpg,"The Nokia N8 excels as a camera phone, and the improvements of Symbian 3 make it one of the company's best smartphones to date. However, it still has its shortcomings and an expensive price tag, making it a hard sell for the North American market.","/products/nokia-n8/,/products/nokia-n8/prices/","Nokia N8,"
http://cnet3.cbsistatic.com/hub/i/r/2010/08/05/985130ca-7a22-46c5-8a7d-14c6de1c998e/thumbnail/140x105/9a512b402b2c8a20023b2e4f1ce04575/985130ca-7a22-46c5-8a7d-14c6de1c998e.jpg,"The Nokia E73 Mode is an outstanding value, offering T-Mobile customers a sleek and feature-packed messaging smartphone for a very affordable price.,,",/products/nokia-e73-mode-t-mobile/,"Nokia E73 Mode,"
